service_name,provider_name,care_type,organisation_type,address,suburb,postcode,latitude,longitude,source_note
John Flynn Retirement Village,Ryman Aged Care (Australia) Pty Ltd,Residential,Private Incorporated Body,6 Foundation Boulevard,Burwood East,3151,-37.851058,145.135386,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Happy Living,Argent Nominees Pty Ltd,Home Care,Private Incorporated Body,"Level 3, 2107 Dandenong Road",Clayton,3168,-37.9220529999999,145.140052999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
RDNS - STRC - Northern & Western Metro,Royal District Nursing Service Limited,Short-Term Restorative Care (STRC),Charitable,"Level L1, ATT PACKAGED CARE, 347 Burwood Highway",Forest Hill,3131,-37.854112,145.166018,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
mecwacare Jubilee House,MECWA,Residential,Community Based,52 Northcote Avenue,Caulfield North,3161,-37.8782369999999,145.029379,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Home Care Assistance South East Melbourne,Quantum Care Services Pty Ltd,Home Care,Private Incorporated Body,"Unit 13, 417-419 Warrigal Road",Cheltenham,3192,-37.9505109999999,145.075476,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Bert Newton Retirement Village,Ryman Aged Care (Australia) Pty Ltd,Residential,Private Incorporated Body,32-40 Graham Road,Highett,3190,-37.951929,145.041669,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Carers Network,CNA Group Pty Ltd,Home Care,Private Incorporated Body,"Suite 6, 758 Blackburn Road",Clayton,3168,-37.9105369999999,145.141525,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Just Home Care Packages,Argent Nominees Pty Ltd,Home Care,Private Incorporated Body,"Level 3, 2107 Dandenong Road",Clayton,3168,-37.9220529999999,145.140052999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Melbourne Home Care,Southern Cross Care (SA NT & VIC) Incorporated,Home Care,Religious,"Level 2, 990 Whitehorse Road",Box Hill,3128,-37.818578,145.124846999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Better Living,Argent Nominees Pty Ltd,Home Care,Private Incorporated Body,"Level 3, 2107 Dandenong Road",Clayton,3168,-37.9220529999999,145.140052999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Calvary Huntly Suites,Calvary Aged Care Limited,Residential,Charitable,476 Kooyong Road,Caulfield South,3162,-37.897106,145.013081,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
TLC Whitewater,Great Oaks Pty Ltd,Residential,Private Incorporated Body,84 White Street,Mordialloc,3195,-38.0000969999999,145.096743,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Uniting AgeWell Southern Metro Home Care UVT,Uniting Agewell Limited,Home Care,Religious,68-74 Atherton Road,Oakleigh,3166,-37.899272,145.09277,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Mark & Sylvie's Home Care,Atticus Health Pty Ltd,Home Care,Private Incorporated Body,260 Highett Road,Highett,3190,-37.948588,145.039366999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Hazel Home Care,Western HomeCare Pty. Ltd.,Home Care,Private Incorporated Body,"Office 28, 207 Riddell Parade",Elsternwick,3185,-37.888306,145.003735,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Pearl Home Care Melbourne East,Pearl Home Care Pty Ltd,Home Care,Private Incorporated Body,"SHOP 8, 166 WHITEHORSE ROAD",Blackburn,3130,-37.8181739999999,145.155437,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Pearl Home Care South Yarra,Pearl Home Care Pty Ltd,Home Care,Private Incorporated Body,"SUITE 798, LEVEL 2 (UL40), 1341 DANDENONG ROAD",Chadstone,3148,-37.8852199999999,145.078786,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Sunny Homecare Services Pty Ltd,Sunny Homecare Services Pty Ltd,Home Care,Private Incorporated Body,273 BLACKBURN ROAD,Mount Waverley,3149,-37.877836,145.147133999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Vitalcare Support Pty Ltd,Vitalcare Support Pty Ltd,Home Care,Private Incorporated Body,"SHOP 4, 394 398 MIDDLEBOROUGH ROAD",Blackburn,3130,-37.820362,145.138511999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Australian Unity Home Care Service - Eastern Metro,Australian Unity Home Care Service Pty Ltd,Home Care,Private Incorporated Body,"SHOP 2, 253-269 WELLINGTON ROAD",Mulgrave,3170,-37.9177889999999,145.154978,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
JOJO Support at Home,JoJo Stay at Home Pty Ltd,Home Care,Private Incorporated Body,3 PAUL AVENUE,Box Hill North,3129,-37.797921,145.119393,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Australian Unity Home Care Service - Southern Metro,Australian Unity Home Care Service Pty Ltd,Home Care,Private Incorporated Body,"SHOP 2, 253-269 WELLINGTON ROAD",Mulgrave,3170,-37.917062,145.155595,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Nurse Next Door Melbourne South East,Australian Home Healthcare Services Pty Ltd,Home Care,Private Incorporated Body,1265 NEPEAN HIGHWAY,Cheltenham,3192,-37.962108,145.055741,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Nurse Next Door Bayside,Australian Home Healthcare Services Pty Ltd,Home Care,Private Incorporated Body,"SUITE 1, 6 RIDDELL PARADE",Elsternwick,3185,-37.8847349999999,145.002092,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Mercy Place Mentone,Mercy Aged and Community Care Ltd,Residential,Charitable,101 103 COLLINS STREET,Mentone,3194,-37.979892,145.064586999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Outlook Christian Living Home Care,Association for Christian Senior Citizens Homes Inc,Home Care,Religious,"Administration Building Outlook Gardens Aged Care, 504 POLIC",Dandenong North,3175,-37.939374,145.211696999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Australian Unity Home Care Service - Gippsland,Australian Unity Home Care Service Pty Ltd,Home Care,Private Incorporated Body,253 269 WELLINGTON ROAD,Mulgrave,3170,-37.917774,145.154982999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
