service_name,provider_name,care_type,organisation_type,address,suburb,postcode,latitude,longitude,source_note
CCSSCI CACPs Southern,Chinese Community Social Services Centre Limited,Home Care,Charitable,56-60 RUTLAND ROAD,Box Hill,3128,-37.820421,145.127664,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
mecwacare Home Care Packages 2 (Southern Metro Region),MECWA,Home Care,Community Based,1287 Malvern Road,Malvern,3144,-37.852367,145.036581,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
mecwacare Home Care Packages 3 (Southern Metro Region),MECWA,Home Care,Community Based,1287 Malvern Road,Malvern,3144,-37.852367,145.036581,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
mecwacare Home Care Packages 4 (Southern Metro Region),MECWA,Home Care,Community Based,1287 Malvern Road,Malvern,3144,-37.852367,145.036581,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Enrich Living Pty Ltd - VIC Southern Region 1,MyHomecare Pty Ltd,Home Care,Private Incorporated Body,"Level 3, Building and Business District, 2107-2125 Dandenong",Clayton,3168,-37.9220529999999,145.140052999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Enrich Living Pty Ltd - VIC Southern Region 2,MyHomecare Pty Ltd,Home Care,Private Incorporated Body,"Level 3, Building and Business District, 2107-2125 Dandenong",Clayton,3168,-37.9220529999999,145.140052999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Enrich Living Pty Ltd - VIC,MyHomecare Pty Ltd,Home Care,Private Incorporated Body,"Level 3, Building and Business District, 2107-2125 Dandenong",Clayton,3168,-37.9220529999999,145.140052999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Community Support Options Community Aged Care Packages,Monash Health,Home Care,State Government,51 Buckingham Avenue,Springvale,3171,-37.952596,145.151083999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Community Support Options General Community Aged Care Packages,Monash Health,Home Care,State Government,"Floor Number 4, 229 THOMAS Street",Dandenong,3175,-37.987147,145.212348999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Community Support Options Housing Linked Community Aged Care Packages,Monash Health,Home Care,State Government,51 Buckingham Avenue,Springvale,3171,-37.952596,145.151083999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Eastern Metro Care Packages Project,Fronditha Care,Home Care,Community Based,16 Anzed Court,Mulgrave,3170,-37.9210959999999,145.15018,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
KinCare CACP - Eastern Metropolitan,KinCare Health Services Pty Ltd,Home Care,Charitable,"Unit 26, 270 Ferntree Gully Road",Notting Hill,3168,-37.9000249999999,145.130190999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Kincare CACP - Northern Metropolitan,KinCare Health Services Pty Ltd,Home Care,Charitable,"Unit 26, 270 Ferntree Gully Road",Notting Hill,3168,-37.9000249999999,145.130190999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
KinCare CACP - Southern Metropolitan,KinCare Health Services Pty Ltd,Home Care,Charitable,"Unit 26, 270 Ferntree Gully Road",Notting Hill,3168,-37.9000249999999,145.130190999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
KinCare CACP - Western Metropolitan,KinCare Health Services Pty Ltd,Home Care,Charitable,"Unit 26, 270 Ferntree Gully Road",Notting Hill,3168,-37.9000249999999,145.130190999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
KinCare EACH - Eastern Metropolitan,KinCare Health Services Pty Ltd,Home Care,Charitable,"Unit 26, 270 Ferntree Gully Road",Notting Hill,3168,-37.9000249999999,145.130190999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
mecwacare Home Care Packages 1 (Southern Metro Region),MECWA,Home Care,Community Based,1287 Malvern Road,Malvern,3144,-37.852367,145.036581,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
