stop_id,stop_name,latitude,longitude
10494,Clarinda Rd/Bourke Rd,-37.94092338,145.09931947
10495,Angus Ct/Bourke Rd,-37.94042201,145.09562279
10496,Cedar Ct/Bourke Rd,-37.94009432,145.09319613
10497,Barkers St/Old Dandenong Rd,-37.93791432,145.08936095
10498,Washington Dr/Old Dandenong Rd,-37.93596162,145.08731788
10499,Commonwealth Golf Club/Old Dandenong Rd,-37.9339687,145.08446812
105,Trenerry Cres/Johnston St,-37.80048422,145.00037819
10500,Tecoma Ct/Old Dandenong Rd,-37.93237986,145.08208588
10501,Warrigal Rd/South Rd,-37.93863706,145.07840718
10502,Kingsway/South Rd,-37.93809268,145.07432502
10503,Alex Ave/South Rd,-37.93768714,145.07102441
10504,Bignell Rd/South Rd,-37.93748641,145.06812811
10505,Sullivan St/South Rd,-37.93693548,145.06421694
10507,Chesterville Rd/South Rd,-37.93644315,145.06058875
10508,Rowans Rd/South Rd,-37.93608075,145.05664998
10510,Fletcher St/South Rd,-37.93530908,145.05194833
10511,Delhi St/Mitcham Rd,-37.8190587,145.19395873
10512,Agra St/Mitcham Rd,-37.82085457,145.19411946
10513,Lucknow St/Mitcham Rd,-37.82437318,145.19437454
10514,Orient Ave/Mitcham Rd,-37.82698121,145.19460638
10515,Vernal Ave/Mitcham Rd,-37.82843405,145.19473004
10516,Picadilly St/Golf Rd,-37.91358532,145.08897823
10517,Metropolitan Golf Club/Golf Rd,-37.91114197,145.08946232
10518,North Rd/Golf Links Ave,-37.90872073,145.09075337
10554,Station St/Cheltenham Rd,-37.99144912,145.20934774
10555,Cheltenham Rd/George St,-37.98933685,145.204981
10556,Langhorne Pl/Langhorne St,-37.98726043,145.21480126
10557,Langhorne Pl/Langhorne St,-37.98748286,145.21520579
10558,Keneally St/Cheltenham Rd,-37.98999432,145.20554571
106,Clarke St/Johnston St,-37.80062579,145.00181677
1065,40 Dorking Rd,-37.81636664,145.13116873
1076,Fenwick St/Chadstone Rd,-37.88227985,145.07911119
10873,Tintern Gr/Bernard St,-37.95282291,145.0592817
10874,Parnell St/Bernard St,-37.95323386,145.06234376
10875,Christensen St/Bernard St,-37.95355319,145.06477092
10876,Cheltenham Sec Col/Bernard St,-37.95396699,145.06801508
10877,Dissik St/Bernard St,-37.95439047,145.07130454
10878,Kingston Centre/Bernard St,-37.95460198,145.07596533
10879,Kingston Centre/Kingston Rd,-37.95326552,145.07800327
10880,Byng Ave/Kingston Rd,-37.95360096,145.08088533
10881,Ball Rd/Kingston Rd,-37.95392955,145.08390418
10882,Kingston Heath Golf Club/Kingston Rd,-37.95429575,145.0870245
10883,Kingston Rd,-37.95471172,145.09043949
10884,Pietro Rd/Kingston Rd,-37.95522009,145.09455777
10885,Old Dandenong Rd/Kingston Rd,-37.9557934,145.09935732
10887,Peace Rd/Kingston Rd,-37.95680718,145.1074577
10888,Heatherton Christian College/Kingston Rd,-37.95738587,145.11206384
10889,Kingston Rd/Clayton Rd,-37.95674191,145.11349166
10890,Ryans Rd/Clayton Rd,-37.95110953,145.1146145
10891,Tully Rd/Clayton Rd,-37.94727402,145.11539536
10892,Bodley St/Clayton Rd,-37.94465022,145.11587207
10893,Wellington Rd/Blackburn Rd,-37.91782718,145.13997929
10895,Princes Hwy/Blackburn Rd,-37.92060372,145.13946567
109,Yarra Bend Park/Studley Park Rd,-37.80118878,145.0063219
10900,Centre Rd/Springs Rd,-37.92808914,145.1098554
10901,Bond St/Springs Rd,-37.93020701,145.10930055
